,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,main_topic,Text,target_label
Doc7276,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.58,0.02,0.02,0.02,0.02,7,Good price and garage was great!,location
Doc7277,0.02,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22,1,Great and fast service. Will use again.,garage service
Doc7278,0.68,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0,"Easy, value for money, good service.",value for money
Doc7279,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.24,0.01,0.01,0.01,0.15,4,The purchase experience works very well - unless you choose the wrong tyre. Trying to get hold of Customer Service to even discuss the situation (and options) proved impossible.,wait time
Doc7280,0.01,0.41,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,1,"Excellent, quick and reliable service. Staff are patient, helpful and they ensure everything is ok before you leave. Will be using again for my next set of tyres",garage service
Doc7281,0.01,0.01,0.01,0.01,0.01,0.66,0.01,0.01,0.01,0.01,0.01,0.22,5,Easy to order and too get the tyres fitted. Also got a discount buying 4 tyres,delivery punctuality
Doc7282,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Excellent service as it always is. Great price.,garage service
Doc7283,0.02,0.02,0.02,0.62,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,3,The whole process from start to finish couldn't be more straight forward. The most difficult bit was working out the tyer sizes (which was a skill I now have for life). I have already recommend [REDACTED] to my friends ate work they were so good.I would use them again in a heartbeat,change of date
Doc7284,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.27,1,"excellent service, would use again",garage service
Doc7285,0.02,0.22,0.02,0.26,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.37,11,"Great website, 100% use again and recommend aswell",discounts
Doc7286,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.41,0.02,0.02,0.02,0.02,5,Competitively priced tyres fitted at a local first rate garage Tyreright of Gloucester.,delivery punctuality
Doc7287,0.04,0.54,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1,"Great no worries, no stress",garage service
Doc7288,0.2,0.01,0.01,0.01,0.01,0.52,0.01,0.01,0.15,0.01,0.01,0.09,5,"as easy as it gets to have new tyres fitted. Good price on the tyres we wanted, delivered direct to the garage of our choice and fitted at a booked time. You can’t get much easier, Recommended",delivery punctuality
Doc7289,0.2,0.23,0.01,0.1,0.01,0.01,0.2,0.11,0.01,0.12,0.01,0.01,1,"great value for money and I have save just over £90, [REDACTED] even let you select ur fitting garage and time and date to suit your need. Very easy and convenient with excellent service.",garage service
Doc7290,0.03,0.03,0.03,0.03,0.03,0.03,0.36,0.03,0.03,0.03,0.36,0.03,6,Fantastic job done by all. Very helpful over the telephone and throughout.,ease of booking
Doc7291,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Good service and good prices.,value for money
Doc7292,0.01,0.18,0.01,0.13,0.01,0.22,0.09,0.01,0.01,0.01,0.24,0.1,10,"Michelin fitted tyres at Bearsden. Hello, service great, ordering no bother, staff at garage (Scott) Bearsden very polite and helpful. Minded me from my first order just over a year ago.Will definitely use you system again!Francis Flynn",length of fitting
Doc7293,0.63,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0,"Good service, good price, the Garage I picked was spot on",value for money
Doc7294,0.01,0.53,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0.14,0.01,1,Great service and excellent price. Bought 2 Goodyear tyres to be fitted locally and all went very smoothly.,garage service
Doc7295,0.01,0.14,0.01,0.01,0.01,0.41,0.01,0.01,0.01,0.25,0.13,0.01,5,"Tyres delivered and professionally fitted at my favourite garage nearby within 48 hours of my order, which is excellent. This is my second set purchased from [REDACTED] and confirm the quality of their own selected brands was very good for the price on both occasions.",delivery punctuality
Doc7296,0.04,0.04,0.04,0.04,0.04,0.04,0.54,0.04,0.04,0.04,0.04,0.04,6,Quick and cheap,ease of booking
Doc7297,0.01,0.01,0.01,0.24,0.2,0.01,0.25,0.24,0.01,0.01,0.01,0.01,6,"Best price, very easy ordering process, short delivery time to fitting partner. Very pleased with overall experience.",ease of booking
Doc7298,0.01,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.29,10,"Great service, they had a supply issue with my original order and so upgraded to the next tyre up without charging the extra cost. Also they saw what could be an issue and highlighted it so that i could double check i had the correct order.",length of fitting
Doc7299,0.01,0.01,0.11,0.27,0.01,0.01,0.09,0.11,0.01,0.15,0.24,0.01,3,Used [REDACTED] to get my Audi Q5's complete set of replacement tyres. Initially selected the Michelin Latitude Sport 3's which sadly turned out not be in stock nearer the fit date. I was then promptly offered the Continental SportContact 5's (Audi OEM). Had the fitting at a local ATS Euromaster branch and staff were exceptionally professional & friendly and the job completed very quickly. I would definitely use BC again.,change of date
Doc7300,0.2,0.22,0.15,0.01,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,7,Great service and competitive prices.Very good local fitter too.,location
Doc7301,0.38,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.41,0.02,0.02,9,Good price and were able to adjust the fitting to my schedule,tyre quality
Doc7302,0.01,0.35,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.01,1,"Excellent service,did exactly what they promised..very happy will definitely use them again..Jay",garage service
Doc7303,0.14,0.07,0.1,0.0,0.06,0.22,0.0,0.21,0.09,0.09,0.0,0.0,5,This is the third occasion I've used [REDACTED] and have to say the experience was effortless. I've got fed up spending £170 on tyres that wear out quickly or get non repairable punctures so decided to look at the budget tyre for my car.I purchased four for the price of two Original Continental tyres. And guess what the tread pattern is exactly the same as the Original tyres the noise rating and wet weather performance better. And my mpg has has increased from 37 to 40 mpg.The local home visit tyre fitter Gary was an excellent choice to.If you're local to Bedfordshire I highly recommended him too.,delivery punctuality
Doc7304,0.29,0.19,0.18,0.01,0.01,0.01,0.12,0.01,0.15,0.01,0.01,0.01,0,"Great service, takes the hassle out of finding a good variation of tyres to suit your budget also gives you a choice of recommended fitters.",value for money
Doc7305,0.01,0.33,0.01,0.01,0.15,0.01,0.01,0.41,0.01,0.01,0.01,0.01,7,"Excellent experience, local fitting at a great price!",location
Doc7306,0.2,0.38,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0.02,1,Very good quality and excellent service.,garage service
Doc7307,0.36,0.36,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,"Fast, efficient and cost effective.",value for money
Doc7308,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.27,0.02,3,"Everything went smoothly, will definitely use them again.",change of date
Doc7309,0.48,0.36,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Excellent value. Quick service,value for money
Doc7310,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,remember to get cashback !,value for money
Doc7311,0.01,0.73,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,1,Great service. Great staff. Great price.,garage service
Doc7312,0.02,0.02,0.02,0.02,0.02,0.25,0.02,0.02,0.02,0.02,0.59,0.02,10,"From start to finish everything went smoothly, even when I went to the garage to get them fitted.",length of fitting
Doc7313,0.28,0.01,0.01,0.01,0.01,0.01,0.01,0.45,0.01,0.01,0.15,0.01,7,Good price and a friendly local garage.,location
Doc7314,0.28,0.29,0.02,0.02,0.02,0.24,0.02,0.02,0.02,0.02,0.02,0.02,1,Very fast good cheap tyres,garage service
Doc7315,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.19,0.01,0.38,0.2,10,Could not be easier - paid less than on the highstreet - booked Entire Automotive to fit at home. They texted half an hour before the allotted time and were very quick and helpful. Would recommend and will use again.,length of fitting
Doc7316,0.01,0.51,0.01,0.01,0.01,0.01,0.36,0.01,0.01,0.01,0.01,0.01,1,Great service so easy to book your tyres to get done,garage service
Doc7317,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Good service and keen price!,value for money
Doc7318,0.01,0.15,0.01,0.28,0.01,0.01,0.3,0.01,0.01,0.17,0.01,0.01,6,Hassle free and well organised service. Used before and will definitely use again.,ease of booking
Doc7319,0.39,0.31,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0,"Great service, Tyres were waiting at my chosen dealer and fitted straight away while we waited. Good service and good price.",value for money
Doc7320,0.01,0.01,0.19,0.01,0.01,0.01,0.01,0.33,0.37,0.01,0.01,0.01,8,"Tyres were perfect and arrived on time.The only slight downside was the waiting area in the fitting garage. It was described as a viewing area but there were only two small windows in it, one looking out onto the garage entrance and the other into a wall rack of tyres.This ensured that you could not see the fitter working on your vehicle.",booking confusion
Doc7321,0.04,0.04,0.04,0.54,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,3,"I would recommend to anybody,",change of date
Doc7322,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,0.02,0.02,9,Good tyres close for fitting,tyre quality
Doc7323,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.4,0.16,0.01,0.01,0.12,7,Great experience found my tyres and local garage very quickly even managed to get a appointment within 2 days. Will defo use again 😁,location
Doc7324,0.1,0.01,0.01,0.01,0.01,0.15,0.16,0.01,0.25,0.01,0.01,0.29,11,"Easy to access the site, choice of tyres and straight forward booking, tyres fitted on nominated day, hassle free good price, will use them again.",discounts
Doc7325,0.01,0.11,0.32,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,3,Such an easy process to pick your tyres and fitting dates. Very reliable and great reminders and updates for the fitting day.I have found my new way to get tyres for both my cars.Thank you [REDACTED].,change of date
Doc7326,0.01,0.26,0.09,0.14,0.01,0.11,0.21,0.01,0.01,0.15,0.01,0.01,1,"Great price and easy process to book in. Paid the extra premium to have my tyres fitted at home. Communication was great, fitter turned up on time and did a great job. Really pleased, would certainly recommend.",garage service
Doc7327,0.01,0.46,0.01,0.01,0.01,0.28,0.16,0.01,0.01,0.01,0.01,0.01,1,"Great price and amazing service from Southport MOT who fitted the tyre, Chris and his guys always do a fantastic job",garage service
Doc7328,0.02,0.52,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,1,Excellent Service & Simple,garage service
Doc7329,0.51,0.01,0.18,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0,Overall a good service and good pricing. Fitter was a bit late but got in touch to confirm it was still ok to come.,value for money
Doc7330,0.09,0.01,0.1,0.01,0.01,0.31,0.01,0.01,0.01,0.31,0.14,0.01,5,Ordered tyres did not have car by time of fitting .Very helpful changed order to another one and saved me money. Used many times before and will be using again,delivery punctuality
Doc7331,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,"Good, quick service.",value for money
Doc7332,0.01,0.38,0.01,0.21,0.01,0.01,0.01,0.28,0.01,0.01,0.01,0.01,1,"I can, without hesitation recommend the service I received from both [REDACTED] and Invergordon tyre service. It has been a pleasure to do business with you both, and I have no reservations about return purchases.",garage service
Doc7333,0.13,0.41,0.13,0.01,0.01,0.01,0.12,0.01,0.01,0.14,0.01,0.01,1,"My 2nd time using [REDACTED]. Great service, great prices, was all very hassle free.Tyres seem good the steering much better.Would certainly reccomend them.",garage service
Doc7334,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Very pleased with the speedy service and great service.,garage service
Doc7335,0.23,0.23,0.01,0.01,0.01,0.01,0.01,0.43,0.01,0.01,0.01,0.01,7,"Good service, great price, local garage",location
Doc7336,0.02,0.02,0.02,0.02,0.02,0.02,0.23,0.02,0.02,0.6,0.02,0.02,9,"Ready at appointed time.Did good job in fitting tyres, not sure about accurac",tyre quality
Doc7337,0.16,0.16,0.01,0.12,0.12,0.12,0.01,0.01,0.01,0.14,0.01,0.13,0,Great prices. A really easy buying experience with lots of options for having them fitted. I would highly recommend.,value for money
Doc7338,0.01,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,10,The staff were very helpful and friendly. The service was excellent.,length of fitting
Doc7339,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,1st class service. Great tyres and at a fantastic price.,garage service
Doc7340,0.01,0.01,0.01,0.3,0.01,0.32,0.01,0.01,0.01,0.1,0.01,0.23,5,Website really easy to use. Very quickly found the right tyre and location to have it fitted. Garage was a recommended [REDACTED] garage and I would definitely recommend them myself.,delivery punctuality
Doc7341,0.01,0.67,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19,1,"Great service and great price, easy business from start to finish",garage service
Doc7342,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.32,7,Very easy site to use. A great list of local garages for fitting and a great price too.,location
Doc7343,0.26,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.01,3,Fair prices. Smooth transactions and the garage was very helpful and efficient. Will definitely use again and will recommend.,change of date
Doc7344,0.54,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,Very good all seecice,value for money
Doc7345,0.18,0.51,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,"Great service, great tyres, would highly recommend!",garage service
Doc7346,0.01,0.01,0.01,0.01,0.1,0.19,0.01,0.01,0.01,0.14,0.14,0.37,11,"Quick and easy to order online, hassle-free to get fitted and the staff are all nice at the Silverburn centre",discounts
Doc7347,0.01,0.01,0.01,0.01,0.01,0.28,0.01,0.4,0.2,0.01,0.01,0.01,7,"Cannot fault it. Wide choice of tyres, best price, fitted locally on schedule.",location
Doc7348,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.54,0.04,0.04,0.04,0.04,7,Simply the best,location
Doc7349,0.03,0.03,0.03,0.03,0.03,0.69,0.03,0.03,0.03,0.03,0.03,0.03,5,Would have given a 10 but the tyre did not look new. Looked a bit old and dirty,delivery punctuality
Doc7350,0.0,0.08,0.0,0.14,0.13,0.25,0.05,0.0,0.07,0.0,0.27,0.0,10,"This is the second time that I have bought tyres through [REDACTED].com. The tyres were very competitively priced and the process of ordering was very straight forward. On both occasions the service was excellent. On this occasion I went to Hartley Garage in Ash Road, Longfield, Kent to have the tyre fitted. I had an appointment for 9am and they started work on the vehicle as soon as I arrived. The staff were very friendly and helpful. There was a comfortable waiting area where I was offered tea or coffee. I only had to wait half an hour while the tyre was being fitted. I will definitely use them again.",length of fitting
Doc7351,0.02,0.52,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,1,"simple and effective, great service",garage service
Doc7352,0.21,0.01,0.1,0.08,0.01,0.01,0.15,0.24,0.01,0.19,0.01,0.01,7,"I don‚Äôt have much spare time so used [REDACTED] as they already had good reviews and competitive pricing. The whole transaction was speedy and hassle free. I liked the fact that a local fitter attended to fit the tyres and offered a very efficient service. Will definitely come back again, no need to look elsewhere.",location
Doc7353,0.01,0.3,0.01,0.01,0.01,0.01,0.36,0.01,0.01,0.01,0.01,0.24,6,Great service hassle free easy to use.,ease of booking
Doc7354,0.01,0.35,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.18,1,"Excellent service,1st time user definitely order again.",garage service
Doc7355,0.0,0.18,0.0,0.16,0.1,0.0,0.0,0.05,0.0,0.33,0.0,0.15,9,Excellent all round. [REDACTED] was excellent and beat all other competition hands down price-wise. Booking a fitting date and time online was easy and worked in practice perfectly too with no unnecessary waiting at the fitting centre. The fitting centre provided excellent service too. The whole process of selection and purchase was really easy and quick. Very satisfied. Have used [REDACTED] before and will definitely use again without hesitation.,tyre quality
Doc7356,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,Very good and prompt service.,value for money
Doc7357,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,"Brilliant service, brilliant value",value for money
Doc7358,0.27,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.02,4,good communication when had to change garage appointment,wait time
Doc7359,0.01,0.66,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,Fast service and great customer service,garage service
Doc7360,0.35,0.49,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,excellent service and a very good price,garage service
Doc7361,0.02,0.52,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.02,1,Competitively priced and fitted locally. Excellent service,garage service
Doc7362,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,1,Easy to use great service,garage service
Doc7363,0.71,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.01,0,"Very good price and quality tyres.Professional service too, Highly Recommended.",value for money
Doc7364,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,A Very quick effective economic service.,value for money
Doc7365,0.22,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.13,0.01,1,"Great service, even went to trouble of letting me know the tyres I had picked weren't suitable for my vehicle, and then sorted me out with a better alternative and refunded me the diference.Good communications, great tyres and good efficient fitting service.Thanks.",garage service
Doc7366,0.01,0.3,0.01,0.01,0.01,0.58,0.01,0.01,0.01,0.01,0.01,0.01,5,Bought 2 new tyres from [REDACTED] and had them fitted in Boxford garage Suffolk. Fantastic service from both and I will be back again for the next 2 soon. Brilliant price too. Thanks,delivery punctuality
Doc7367,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.54,0.04,10,The staff at AMS where absolutely fantastic,length of fitting
Doc7368,0.02,0.42,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,1,"Great service,easy to book",garage service
Doc7369,0.01,0.09,0.01,0.01,0.01,0.08,0.07,0.01,0.23,0.49,0.01,0.01,9,Fitted Dunlop Sportmaxx RT2 98Y to my Giulia QV. Really good tyre choice as per the very useful reviews. They suit my needs as a day to day driver.The price beat everyone else by at least £60. I used the discount code displayed on the seller page and saved another £50. It was a win win situation for me. The fitting station was really good too. They did a great job.,tyre quality
Doc7370,0.05,0.0,0.0,0.08,0.0,0.42,0.0,0.0,0.15,0.0,0.18,0.08,5,"I do like [REDACTED] as a means of choosing tyres, the process was easy to follow and I felt it gave me an informed choice. On reflection the choice of garage might have been better, they were very busy and it took 2 hours to fit my tyres and adjust the tracking. Having had 4 new tyres fitted, after a long journey I had a tyre pressure warning light display and on checking, my tyres were all over inflated to 45psi, I had to deflate them to the recommended 32psi. The garage may have been busy but this was an oversight.",delivery punctuality
Doc7371,0.18,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.55,0.01,0.01,0.01,8,"Excellent tyre choices, good prices and choice of fitting garages.",booking confusion
Doc7372,0.16,0.01,0.11,0.01,0.13,0.13,0.11,0.01,0.01,0.31,0.01,0.01,9,"A very efficient & professional service, from ordering & booking the fitting to arriving at the fitting centre to have the tyres fitted.",tyre quality
Doc7373,0.16,0.32,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.23,0.01,0.01,1,Very good company excellent service from ordering to completion,garage service
Doc7374,0.02,0.59,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.25,0.02,0.02,1,excellent service and price at all times,garage service
Doc7375,0.3,0.01,0.01,0.16,0.01,0.43,0.01,0.01,0.01,0.01,0.01,0.01,5,"Good price, tyres fitted at agreed time. Would recommend.",delivery punctuality
Doc7376,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.54,0.04,0.04,0.04,0.04,7,There were quite reasonable price for my tires,location
Doc7377,0.01,0.18,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.18,0.35,0.01,10,"A very convenient service, and the guys in the garage I used were very helpful.",length of fitting
Doc7378,0.01,0.58,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,Excellent price and service - did exactly what was promised - can't fault the service or the communications from them - will definitely use them again,garage service
Doc7379,0.01,0.31,0.01,0.01,0.01,0.41,0.21,0.01,0.01,0.01,0.01,0.01,5,"Dead easy to get set up and new tires ordered. Great price, great tires, absolutely trouble free. and the Green Man Garage in Whetstone N20 are brilliant (they fitted the tires)!!Andy Fry",delivery punctuality
Doc7380,0.34,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.35,11,Very good service. Easy to use . No problems,discounts
Doc7381,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,Absolutely ideal.,value for money
Doc7382,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.54,0.04,0.04,0.04,0.04,7,no waiting Fabulous price,location
Doc7383,0.24,0.0,0.0,0.03,0.0,0.14,0.03,0.13,0.34,0.07,0.0,0.0,8,"This was my first time trying [REDACTED].com. I was desperate to get some tyres for the next day after picking up a puncture on the Thursday and having a weekend trip leaving on the Friday night and it's amazing how hard it is to get decent sport tyres for the next day as no-one carries stock. I'd first tried making a booking with Kwik Fit mobile fittings, they rejected it halfway through the booking process but then charged me for it and it took a week to get my money back. The only other place I could find was [REDACTED].com - they were offering good sport tyres next day at a very reasonable price to be fitted at the local HiQ garage. It seemed too good to be true, HiQ themselves charged more money and couldn't do it till the next Tuesday yet [REDACTED] could get the tyres to them for the next day for a cheaper price. The reviews looked good so I took my chances and it was all smooth sailing. The appointment was first thing the next morning, tyres arrived no problem and by 10am the job was done. It does seem a very good service that puts the major tyre shops like National to shame who can only get tyres to their centres in 2-3 days, plus the price is very good, so I will certainly look to [REDACTED].com again in the future.",booking confusion
Doc7384,0.02,0.02,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,3,They had to change the date of fitting but still would recommend them,change of date
Doc7385,0.01,0.4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.12,0.23,1,"Comprehensive range of brands at great prices, and easy to use. I used Wiltshire Tyres to fit mine, great service from these guys!",garage service
Doc7386,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.53,0.01,0.01,0.01,0.01,7,Delivered when promised to a great local garage who fitted the tyre quickly and prices keen too. Cheers!,location
Doc7387,0.01,0.01,0.01,0.01,0.01,0.59,0.01,0.01,0.01,0.01,0.01,0.27,5,Very easy to order new tyres. Will do it again next time.,delivery punctuality
Doc7388,0.0,0.0,0.14,0.08,0.06,0.42,0.0,0.0,0.1,0.17,0.0,0.0,5,"Previous bad experience with [REDACTED] really ruined the handling of the car and only got the response of tough! !Despite their fitting agents testing the car and agreeing with me that the tyres recommend were rubbish. Had to buy 4 tyres instead of the 2 , I wanted. On this occasion every thing was fine. The agent even rang me early as I only wanted a tyre fitting to a loose wheel and got it fitted a day early.",delivery punctuality
Doc7389,0.01,0.46,0.01,0.01,0.01,0.45,0.01,0.01,0.01,0.01,0.01,0.01,1,"reat service super quick refund. By accident I ordered the wrong tyres to be sent to the garage - [REDACTED] refunded super-quick, no problems -great service",garage service
Doc7390,0.0,0.12,0.07,0.0,0.0,0.24,0.06,0.0,0.0,0.47,0.0,0.0,9,"I have used [REDACTED] on a many occasions & always find them very professional. Excellent quality tyres at very competitive prices. So convenient to order online & have them fitted locally, all included in a fixed price. I used to shop around for tyres but now I know [REDACTED] can’t be beaten on quality or price.",tyre quality
Doc7391,0.03,0.36,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.36,1,Awful service. Don’t use. Still haven’t had my refund,garage service
Doc7392,0.43,0.27,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0,Excellent service/ value for money from both [REDACTED] and partner garage,value for money
Doc7393,0.01,0.43,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.01,1,Great service and at a great price second time I’ve used them definitely use again,garage service
Doc7394,0.02,0.02,0.02,0.02,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,5,"Never had an issue with [REDACTED], or the tyre bought being fitted at ATS Euromaster.",delivery punctuality
Doc7395,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,good value & service,value for money
Doc7396,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,1,"Easy to use, great service.",garage service
Doc7397,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.42,0.02,0.02,0.02,0.22,7,"[REDACTED] is so simple to use, just need your reg and it does the rest. Local garages and a lot of them. Flexible payment options also.",location
Doc7398,0.28,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.39,11,"Easy to use, good prices and discounts and would recommend",discounts
Doc7399,0.01,0.01,0.01,0.38,0.14,0.01,0.39,0.01,0.01,0.01,0.01,0.01,6,"The whole experience of ordering the tyres to the delivery was easy and pain free, would recommend them to anyone.",ease of booking
Doc7400,0.21,0.27,0.14,0.1,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.01,1,My first time using [REDACTED] and not the last!!! Very quick next day delivery and EXCELLENT prices. Great discount on 4 tyres too. Very highly recommended.I've saved over £200,garage service
Doc7401,0.02,0.56,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.23,0.02,0.02,1,Excellent service and advice by fitting team,garage service
Doc7402,0.3,0.01,0.01,0.01,0.29,0.01,0.31,0.01,0.01,0.01,0.01,0.01,6,Easy to do online. Reliable. At a time that‚Äôs convenient and good price.,ease of booking
Doc7403,0.42,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,"Product as described, quick delivery and the price is honest. I recommend it",value for money
Doc7404,0.4,0.14,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.13,0,"Fast, efficient and value for money. Best price around for tyres I requested. Definately use again!",value for money
Doc7405,0.01,0.29,0.01,0.01,0.12,0.01,0.13,0.01,0.01,0.22,0.01,0.18,1,"Easy to choose my tyres and book my slot. Great communication. Excellent customer service at the time of fitting. Will go back for sevicing, MOTs etc. Thank you.",garage service
Doc7406,0.0,0.0,0.04,0.08,0.12,0.56,0.04,0.05,0.05,0.0,0.05,0.0,5,"Ordered two Continentals for our VW Tiguan. Ordered on a Wednesday and was given a Friday appointment. Turned up on Friday and the tyres hadn't been delivered. [REDACTED] rearranged for the following Wednesday, but on the Tuesday they cancelled it and rearranged for Thursday then again to the Friday! Went through a few customer service employees who all said the tyres had been delivered and that the garage was at fault. We finally got someone who actually worked to get the problem sorted (Taylor). She got the tyres ordered on a next day delivery for us to finally get them fitted. She kept decent contact through out the time she dealt with it. Decent cost saving but was a hassle. The local fitter who fitted them was surprised and said he doesn't usually have trouble with [REDACTED] deliveries. Maybe we just got unlucky.",delivery punctuality
Doc7407,0.23,0.01,0.32,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.14,0.12,2,My first time using [REDACTED] & it saved me significant money and recommended a fitter which was very local. All went smoothly and I’ll use again,mobile fitter
Doc7408,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.26,7,Could not be more easy great choice of tyres very competitive price and a local fitter,location
Doc7409,0.01,0.33,0.01,0.01,0.55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4,"Great service, had to change my appointment and BC customer service were accommodating and contacted the garage to make all arrangements for me!",wait time
